Minutes, Mean, Upper, Lower
795, 144.944391, 146.811998, 143.076784
800, 144.946906, 146.811112, 143.082700
805, 144.941917, 146.802779, 143.081055
810, 144.947949, 146.804241, 143.091657
815, 144.962435, 146.816184, 143.108686
820, 144.977146, 146.828123, 143.126169
825, 144.979941, 146.828371, 143.131511
830, 144.980386, 146.825366, 143.135406
835, 144.982544, 146.825341, 143.139747
840, 144.994153, 146.833192, 143.155114
845, 145.008317, 146.843033, 143.173601
850, 145.019318, 146.847277, 143.191359
855, 145.024753, 146.846532, 143.202974
860, 145.026935, 146.841517, 143.212353
865, 145.019524, 146.828753, 143.210295
870, 145.015228, 146.819518, 143.210938
875, 145.001544, 146.801872, 143.201216
880, 144.998768, 146.794194, 143.203342
885, 145.016055, 146.807231, 143.224879
890, 145.028442, 146.814092, 143.242792
895, 145.045768, 146.826187, 143.265349
900, 145.055818, 146.830293, 143.281343
905, 145.069138, 146.835163, 143.303113
910, 145.077528, 146.836172, 143.318884
915, 145.081566, 146.832731, 143.330401
920, 145.081609, 146.825404, 143.337814
925, 145.086780, 146.823994, 143.349566
930, 145.100283, 146.829481, 143.371085
935, 145.110484, 146.832333, 143.388635
940, 145.119292, 146.833792, 143.404792
945, 145.140140, 146.848175, 143.432105
950, 145.152749, 146.857094, 143.448404
955, 145.155766, 146.856244, 143.455288
960, 145.157217, 146.852695, 143.461739
965, 145.153425, 146.844493, 143.462357
970, 145.156660, 146.840530, 143.472790
975, 145.162734, 146.840813, 143.484655
980, 145.166046, 146.840103, 143.491989
985, 145.154558, 146.824761, 143.484355
990, 145.146963, 146.812108, 143.481818
995, 145.147965, 146.809335, 143.486595
1000, 145.149938, 146.807155, 143.492721
1005, 145.158985, 146.810761, 143.507209
1010, 145.156753, 146.802792, 143.510714
1015, 145.150440, 146.792568, 143.508312
1020, 145.142633, 146.779190, 143.506076
1025, 145.138598, 146.769103, 143.508093
1030, 145.141162, 146.765323, 143.517001
1035, 145.148409, 146.767248, 143.529570
1040, 145.156866, 146.770142, 143.543590
1045, 145.168788, 146.778304, 143.559272
1050, 145.169730, 146.774545, 143.564915
1055, 145.173123, 146.772979, 143.573267
1060, 145.174419, 146.769691, 143.579147
1065, 145.176993, 146.767607, 143.586379
1070, 145.181472, 146.767730, 143.595214
1075, 145.189428, 146.771290, 143.607566
1080, 145.201919, 146.780192, 143.623646
1085, 145.211743, 146.784399, 143.639087
1090, 145.213269, 146.781863, 143.644675
1095, 145.206124, 146.772197, 143.640051
1100, 145.198145, 146.760241, 143.636049
1105, 145.187360, 146.746097, 143.628623
1110, 145.190026, 146.744438, 143.635614
1115, 145.188853, 146.739348, 143.638358
1120, 145.181740, 146.727514, 143.635966
1125, 145.180634, 146.722559, 143.638709
1130, 145.176207, 146.714686, 143.637728
1135, 145.173542, 146.709951, 143.637133
1140, 145.176701, 146.708084, 143.645318
1145, 145.179982, 146.706290, 143.653674
1150, 145.173449, 146.692962, 143.653936
1155, 145.169728, 146.683545, 143.655911
1160, 145.154886, 146.663299, 143.646473
1165, 145.144012, 146.647039, 143.640985
1170, 145.127712, 146.624934, 143.630490
1175, 145.116107, 146.608476, 143.623738
1180, 145.106836, 146.594219, 143.619453
1185, 145.108142, 146.591862, 143.624422
1190, 145.110659, 146.591955, 143.629363
1195, 145.117326, 146.596723, 143.637929
1200, 145.128208, 146.606347, 143.650069
1205, 145.130018, 146.606940, 143.653096
1210, 145.131607, 146.608612, 143.654602
1215, 145.133224, 146.609325, 143.657123
1220, 145.138227, 146.613917, 143.662537
1225, 145.141264, 146.616832, 143.665696
1230, 145.141608, 146.615427, 143.667789
1235, 145.142289, 146.612602, 143.671976
1240, 145.143597, 146.608389, 143.678805
1245, 145.148217, 146.607429, 143.689005
1250, 145.153592, 146.607721, 143.699463
1255, 145.148576, 146.597040, 143.700112
1260, 145.143992, 146.587104, 143.700880
1265, 145.138528, 146.576630, 143.700426
1270, 145.136883, 146.570121, 143.703645
1275, 145.131862, 146.561315, 143.702409
1280, 145.123966, 146.549528, 143.698404
1285, 145.120911, 146.542580, 143.699242
1290, 145.123003, 146.540113, 143.705893
1295, 145.118550, 146.533099, 143.704001
1300, 145.102412, 146.513674, 143.691150
1305, 145.087227, 146.495476, 143.678978
1310, 145.070162, 146.475815, 143.664509
1315, 145.056940, 146.458685, 143.655195
1320, 145.034377, 146.433723, 143.635031
1325, 145.004587, 146.401616, 143.607558
1330, 144.987449, 146.382678, 143.592220
1335, 144.969749, 146.362968, 143.576530
1340, 144.956640, 146.348506, 143.564774
1345, 144.942291, 146.333751, 143.550831
1350, 144.927675, 146.318048, 143.537302
1355, 144.916455, 146.305456, 143.527454
1360, 144.900617, 146.288466, 143.512768
1365, 144.894113, 146.280911, 143.507315
1370, 144.891706, 146.276488, 143.506924
1375, 144.886216, 146.268926, 143.503506
1380, 144.882649, 146.262373, 143.502925
1385, 144.884680, 146.261120, 143.508240
1390, 144.881316, 146.254752, 143.507880
1395, 144.883614, 146.254802, 143.512426
1400, 144.887051, 146.254836, 143.519266
1405, 144.897082, 146.262590, 143.531574
1410, 144.909156, 146.271940, 143.546372
1415, 144.915967, 146.275813, 143.556121
1420, 144.919566, 146.277600, 143.561532
1425, 144.927534, 146.284138, 143.570930
1430, 144.934398, 146.288757, 143.580039
1435, 144.989696, 146.343133, 143.636259
1440, 145.133459, 146.489197, 143.777721
1445, 116.697596, 126.861283, 106.533909
