#RUN,Digest Matching, Service time Digest, Service time Normal, Service time Premium, Service time Reliable,Response time Digest, Response time Normal, Response time Premium, Response time Reliable, Wait time Digest, Wait time Normal, Wait time Premium, Wait time Reliable,Interarrival time Digest, Interarrival time Normal, Interarrival time Premium, Interarrival time Reliable, Avg num of jobs Digest, Avg num of jobs Normal, Avg num of jobs Premium, Avg num of jobs Reliable, Num of timeouts Normal, Num of timeouts Premium, Num of timeouts Reliable, Global Response Time, Global Premium Response Time, Global Normal Response Time, Percentage of Failure, Rho Digest, Rho Normal, Rho Premium, Rho Reliable
15,4897,0.601353,147.384645,118.517626,76.275285,1.941207,218.465307,141.606721,441.984505,1.339853,71.080662,23.089096,365.709221,0.861130,3.014395,1.293893,89.918179,2.254256,72.474021,109.442370,4.915408,517.000000,444.000000,0.000000,162.825161,139.415104,217.389308,0.000000,0.698331,0.977872,0.964186,0.848274
16,4838,0.598594,145.764412,118.838872,74.282601,1.942201,184.589661,136.189392,335.101625,1.343608,38.825249,17.350519,260.819024,0.866011,3.055577,1.296316,92.065432,2.242697,60.410729,105.058791,3.639820,516.000000,422.000000,0.000000,148.395476,133.670152,182.997491,0.000000,0.691208,0.954087,0.964993,0.806846
17,4794,0.597321,147.442594,118.907038,79.886767,1.950599,206.303869,138.606994,635.721445,1.353278,58.861275,19.699956,555.834678,0.866394,3.018435,1.303006,88.836824,2.251399,68.347953,106.374819,7.156058,556.000000,414.000000,0.000000,159.507774,137.566803,210.469923,0.000000,0.689434,0.976947,0.960589,0.899253
18,4873,0.600812,147.697614,119.005434,73.719732,2.001922,243.246687,140.327335,454.816905,1.401109,95.549073,21.321901,381.097174,0.864303,3.050427,1.294047,92.907612,2.316226,79.741851,108.440684,4.895367,511.000000,416.000000,0.000000,168.865365,138.257303,240.895085,0.000000,0.695140,0.968373,0.968040,0.793474
19,4944,0.599292,147.969383,120.095510,73.133829,2.007315,226.475549,153.285614,377.356392,1.408023,78.506166,33.190105,304.222563,0.860855,3.021648,1.292858,92.194964,2.331768,74.950996,118.563422,4.093026,489.000000,451.000000,0.000000,172.127952,150.236060,223.208547,0.000000,0.696159,0.979395,0.977806,0.793252
20,4815,0.600460,147.085920,119.727501,76.816449,1.907090,202.272681,138.535121,475.246338,1.306630,55.186761,18.807621,398.429889,0.866123,3.030808,1.300580,90.286154,2.201870,66.738870,106.517922,5.263779,505.000000,451.000000,0.000000,156.524167,136.818700,202.454244,0.000000,0.693273,0.970605,0.969021,0.850811
21,4826,0.598822,147.136033,118.654599,73.928243,1.982609,251.703111,135.196054,308.074181,1.383787,104.567078,16.541455,234.145938,0.864228,3.025410,1.297483,90.686707,2.294082,83.196364,104.198686,3.397126,539.000000,411.000000,0.000000,166.859443,132.487346,246.958715,0.000000,0.692899,0.972668,0.962630,0.815205
22,4848,0.598060,145.537445,118.892137,73.465834,1.908640,184.542854,139.402481,476.370776,1.310579,39.005409,20.510344,402.904942,0.868394,3.045459,1.303499,89.280739,2.197896,60.596063,106.944806,5.335650,508.000000,459.000000,0.000000,152.016728,137.625758,185.673248,0.000000,0.688697,0.955767,0.960105,0.822863
23,4820,0.596435,147.126791,118.496479,76.180885,1.946169,217.966693,142.248570,432.924640,1.349734,70.839902,23.752091,356.743755,0.862867,3.019026,1.295446,94.280197,2.255468,72.197681,109.806624,4.591894,523.000000,393.000000,0.000000,162.948206,139.891341,216.532227,0.000000,0.691225,0.974664,0.962859,0.808026
24,4809,0.600508,148.078860,119.185650,72.547215,1.951094,284.506706,135.279385,332.726344,1.350585,136.427846,16.093736,260.179129,0.863805,3.009710,1.299057,90.610146,2.258719,94.529599,104.136625,3.672065,509.000000,441.000000,0.000000,176.712415,132.854977,278.256122,0.000000,0.695190,0.984007,0.965767,0.800652
